,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
316,HD 10647,b,,298.75,,2.015,989.2,0.15,F9 V,1.1,6218.0,1.11,gassy
317,HD 222155,b,,603.85,,5.1,3999.0,0.16,G2 V,1.67,5765.0,1.13,gassy
318,HD 150706,b,,861.28,,6.7,5894.0,0.38,G0 V,0.96,5961.0,1.17,gassy
319,HIP 57274,b,,11.6,,0.07,8.1352,0.187,K4 V,0.68,4640.0,0.73,icy
320,HIP 57274,c,,130.0,,0.178,32.03,0.05,K4 V,0.68,4640.0,0.73,gassy
321,PSR B1257+12,c,,3.4,,0.36,66.563,0.022,,,,,rocky
322,PSR B1257+12,c,,3.4,,0.36,66.536,0.0182,,,,,rocky
323,HD 2952,b,,508.5,,1.2,311.6,0.129,K0 III,12.02,4844.0,2.54,gassy
324,BD+15 2940,b,,352.78,,0.539,137.48,0.26,K0,14.7,4796.0,1.1,gassy
325,mu Leo,b,,762.8,,1.1,357.8,0.09,K2 III,11.4,4538.2,1.5,gassy
326,HD 155233,b,,635.66,,2.07,885.0,0.03,K1 III,5.03,4845.0,1.5,gassy
327,CoRoT-9,b,,,,,95.272725,,,,,,?
328,WASP-120,b,13.614,,,,3.61126206,,,1.68,6450.0,,gassy
329,WASP-14,b,14.36,2333.0,4.656,0.036,2.243752,0.091,,1.31,6475.0,1.21,gassy
330,Kepler-731,b,13.75,,,0.0505,3.85560355,0.0,,1.05,6028.0,1.15,gassy
331,HATS-5,b,,,,,4.7633877,,G,0.87,5304.0,0.94,?
332,HATS-27,b,15.305,,,,4.63704787,,,1.68,6438.0,,gassy
333,HAT-P-25,b,13.005,,,,3.652821,,,0.91,5610.0,,gassy
334,HAT-P-11,b,4.82,,,0.053,4.88780308,0.0,,0.76,4778.0,0.83,icy
335,55 Cnc,c,,56.6985,,0.23735,44.373,0.072,,0.96,5250.0,0.9,gassy
336,WASP-132,c,2.333,,,,1.01153359,,,0.79,4775.0,,icy
337,HAT-P-44,b,15.368,,,,4.3011975,,,1.03,5115.16,,gassy
338,WASP-170,b,12.285,508.528,1.6,0.0337,2.34478022,,,0.94,5600.0,0.93,gassy
339,WASP-182,b,,,,,3.3769848,,G5,1.34,5638.0,1.08,?
340,HATS-28,b,,,,,3.1810778,,G,0.92,5498.0,0.93,?
341,WASP-161,b,12.812,791.3967,2.2,0.0673,5.4060425,,,1.71,6400.0,1.39,gassy
342,WASP-49,b,12.442,117.5971,,,2.78174,0.0,,0.97,5600.0,0.92,gassy
343,TOI-1899,b,12.183,,,,29.09022715,,,0.62,3854.0,,gassy
344,WASP-4,b,14.908,386.48128,,,1.33823251,0.0,,0.92,5436.0,0.89,gassy
345,HAT-P-25,b,13.339,180.20961,0.427,0.04659,3.652836,0.033,,0.96,5500.0,1.01,gassy
346,WASP-2,b,11.635,,,,2.152226,,,0.81,,0.79,gassy
347,WASP-47,d,3.6,10.4,1.2,,9.03079,,,1.11,5576.0,0.98,icy
348,Kepler-426,b,11.68,,,0.042,3.21751859,0.0,,0.9,5866.0,0.96,gassy
349,WASP-1,b,,,,,2.51994639,,,,,,?
350,WASP-15,b,16.006,172.26386,0.231,0.0499,3.75209748,0.055,,1.48,6300.0,1.18,gassy
351,WASP-29,b,8.878,77.547,0.65,0.0457,3.922727,0.03,,0.81,4800.0,0.82,gassy
352,Qatar-5,b,,,,,2.8793002,,G2 V,1.08,5747.0,1.13,?
353,Kepler-43,b,12.14,,,0.0438,3.02409251,0.0,,1.36,6063.0,1.23,gassy
354,DENIS-P J082303.1-491201,b,,9057.77,,0.36,246.36,0.345,L1.5,,,0.07,gassy
355,GJ 667 C,g,,4.6,,0.549,256.2,0.08,M1.5 V,,3350.0,0.33,rocky
356,HAT-P-69,b,,,,,4.7869568,,,,,,?
357,HAT-P-14,b,13.451,724.6524,1.75,0.0596,4.627649,0.066,F5 V,1.53,6583.0,1.32,gassy
358,HAT-P-50,b,,,,,3.1220157,,,1.7,6280.0,1.27,?
359,WASP-17,b,,,,,3.73543,,,1.49,6550.0,2.28,?
360,HAT-P-2,b,12.969,2765.121,7.3,0.0688,5.6334754,0.50833,,1.64,6290.0,1.36,gassy
361,WASP-2,b,12.117,295.89973,0.914,0.03144,2.152175,,,0.87,5180.0,0.9,gassy
362,XO-4,b,14.91,565.71,,,4.1250828,0.0,,,,,gassy
363,55 Cnc,b,,289.21,,0.115,14.647,0.03,,,,,gassy
364,WASP-3,b,,617.86152,,,,0.0066,,,,1.2,gassy
365,HAT-P-36,b,15.211,611.82275,0.955,0.02402,1.3273466,0.063,,1.11,5560.0,1.05,gassy
366,WASP-50,b,13.07,466.8287,1.325,0.0293,1.9551,,,0.84,5400.0,0.89,gassy
367,WASP-58,b,16.029,308.2951,,,5.01718,0.0,,1.22,5800.0,1.06,gassy
368,K2-261,b,10.264,,,,11.6334541,,,1.73,5287.7,,gassy
369,XO-6,b,,,,,3.7649916,,F5,1.93,6720.0,1.47,?
370,WASP-159,b,15.468,174.8065,0.28,0.0538,3.840401,0.0,F9,2.11,6120.0,1.41,gassy
371,KELT-11,b,,70.55826,,0.0626,4.73626,0.7,,2.83,5326.0,1.46,gassy
372,WASP-140,b,16.141,775.5052,1.1,0.0323,2.2359835,0.047,K0,0.87,5260.0,0.9,gassy
373,WASP-186,b,13.205,,,,5.0267882,,,1.48,6434.0,,gassy
374,WASP-95,b,,,,,2.1846688,,G2,1.13,5630.0,1.11,?
375,HATS-63,b,,,,,3.0566454,,,,,,?
376,WASP-4,b,14.908,371.8611,0.61,0.02287,1.33823162,0.0033,,0.92,5436.0,0.89,gassy
377,HATS-72,b,9.49,,,,7.327945,,,0.79,4521.0,,gassy
378,WASP-26,b,,,,,2.7565963,,G0,1.34,5950.0,1.12,?
379,HAT-P-26,b,,,,,4.2345002,,K1,0.79,5079.0,0.82,?
380,WASP-45,b,,,,,3.12607402,,,,,,?
381,HAT-P-45,b,15.984,273.3338,0.358,0.04521,3.128992,0.11,,1.32,6330.0,1.26,gassy
382,HAT-P-1,b,15.244,168.4499,,0.0551,4.46529,0.0,,1.15,5975.0,1.12,gassy
383,WASP-49,b,12.684,,,,2.78173786,,,1.02,5600.0,,gassy
384,HD 189733,b,12.902,365.5045,1.004,0.03142,2.21857578,,,0.75,5050.0,0.84,gassy
385,WASP-36,b,14.359,731.932,1.458,0.02643,1.5373653,0.0,,0.95,5959.0,1.04,gassy
386,WASP-129,b,10.424,317.83,1.6,0.0628,5.748145,0.096,G1,0.9,5900.0,1.0,gassy
387,WASP-145 A,b,10.088,282.8687,1.6,0.0261,1.7690381,0.0,K2 V,0.68,4900.0,0.76,gassy
388,XO-7,b,,,,,2.8641413,,G0 V,1.48,6250.0,1.41,?
389,HATS-30,b,,,,,3.1743516,,G,1.06,5943.0,1.09,?
390,WASP-127,b,15.356,57.2094,0.09,0.052,4.178062,,,1.39,5620.0,1.08,gassy
391,HD 50554,b,,1382.55357,,2.265,1222.8,0.459,,1.15,5968.36,1.04,gassy
392,HD 65216,c,,54.03,,0.54,152.6,0.02,,0.89,5623.44,1.0,gassy
393,HD 50499,b,,460.8535,,3.93,2483.7,0.27,G1 V,1.42,6099.0,1.31,gassy
394,DH Tau,b,,3496.0,,330.0,,,M0.5,0.27,,0.33,gassy
395,PH2,b,10.12,,,0.828,282.5255,0.41,,1.0,5629.0,0.94,gassy
396,Kepler-33,c,2.82,,,0.1128,13.17555999,0.0,,1.69,5900.0,1.1,icy
397,Kepler-33,c,2.68,,,0.1128,13.17556672,0.0,,1.69,5900.0,1.1,icy
398,Kepler-33,d,4.76,,,0.1577,21.77568158,0.0,,1.69,5900.0,1.1,icy
399,WASP-76,b,20.512,292.4036,0.201,0.033,1.809886,0.0,F7,1.73,6250.0,1.46,gassy
400,WASP-164,b,12.908,,,,1.77711088,,,0.98,5627.0,,gassy
401,HAT-P-37,b,,,,,2.7974414,,,,,,?
402,WASP-47,e,1.829,22.0,,,0.789597,,,1.15,5576.0,1.04,rocky
403,WASP-167,b,17.71,2542.64,,0.0365,2.0219596,,F1 V,1.79,7000.0,1.59,gassy
404,HAT-P-24,b,14.572,238.3725,,,3.35524,0.07,,1.38,6373.0,1.37,gassy
405,HAT-P-42,b,12.916,,,,4.6418368,,,1.41,5743.0,,gassy
406,WASP-98,b,12.655,,,,2.9626402,,,0.72,5473.0,,gassy
407,WASP-106,b,12.162,611.797,1.86,0.0917,9.289715,0.0,F9,1.39,6055.0,1.19,gassy
408,TrES-2,b,13.899,406.8224,,0.0367,2.47063,,G0 V,1.0,5960.0,1.08,gassy
409,XO-2 N,b,,,,,2.61585978,,,,5340.0,,?
410,WASP-73,b,,,,,4.0872856,,,2.22,6124.0,1.16,?
411,WASP-17,b,,,,,,,,1.57,6548.0,1.35,?
412,HD 17156,b,12.274,1014.153,,,21.2163979,0.6768,,1.51,,1.27,gassy
413,WASP-186,b,,,,,5.0267992,,,,,,?
414,WASP-44,b,10.985,275.55861,1.14,0.03443,2.423812,0.0,,,5410.0,,gassy
415,WASP-167,b,,,,,2.021957,,F1 V,1.79,7000.0,1.59,?
416,HATS-22,b,,,,,4.72281583,,,,,,?
417,WASP-121,b,,,,,1.27492477,,F6 V,1.46,6459.0,1.35,?
418,Qatar-6,b,11.904,212.31044,,0.0423,3.506195,0.0,K2 V,0.72,5052.0,0.82,gassy
419,KPS-1,b,,,,,1.706304,,K1 V,0.91,5165.0,0.89,?
420,WASP-49,b,12.498,126.81417,0.356,0.0379,2.7817387,0.026,,0.98,5600.0,0.94,gassy
421,WASP-61,b,15.805,851.7844,,,3.8559,0.0,,1.55,6250.0,1.82,gassy
422,HATS-6,b,,,,,3.32526423,,,,,,?
423,WASP-82,b,18.719,394.1092,0.354,0.0447,2.705782,0.0,F5,2.18,6490.0,1.63,gassy
424,WASP-3,b,16.298,654.7298,0.89,0.03187,1.846835,,,1.38,6400.0,1.26,gassy
425,55 Cnc,e,,14.30235,,0.038,2.808,0.174,,,,0.95,icy
426,HATS-51,b,,,,,3.3488693,,,,,,?
427,XO-3,b,16.27,,,,3.19158435,,,1.69,6673.0,,gassy
428,WTS-2,b,15.278,355.9696,0.54,0.01855,1.0187068,0.0,K2 V,0.75,5000.0,0.82,gassy
429,WASP-5,b,12.949,,,,1.62842956,,,1.09,5700.0,,gassy
430,WASP-25,b,13.675,182.43442,0.406,0.04738,3.7648327,0.083,,0.92,5750.0,1.0,gassy
431,HATS-39,b,17.598,200.2329,0.202,0.06007,4.5776348,0.275,,1.62,6572.0,1.38,gassy
432,HATS-71,b,,,,,3.7955184,,,,,,?
433,WASP-110,b,,,,,3.77840085,,,,,,?
434,WASP-184,b,14.829,,,,5.17958,,,1.65,6116.0,,gassy
435,HATS-22,b,10.682,870.8542,3.89,0.05025,4.7228124,0.079,K V,0.69,4803.0,0.76,gassy
436,WASP-14,b,,2479.074,,,,0.0822,,,,1.35,gassy
437,KOI-12,b,,,,,17.85522584,,,1.49,6779.23,1.45,?
438,WASP-60,b,9.64,160.50415,0.99,0.05311,4.3050011,0.064,,1.14,5900.0,1.08,gassy
439,WASP-67,b,15.693,133.4886,0.2,0.05179,4.6144109,0.015,,0.87,5200.0,0.87,gassy
440,55 Cnc,b,,260.61,,0.1138,14.65126,0.0159,,0.96,5250.0,0.9,gassy
441,WASP-50,b,,,,,1.9550931,,,0.84,5400.0,0.89,?
442,Kepler-422,b,,,,,7.89144896,,,1.28,5883.0,1.07,?
443,WASP-47,e,1.8,,,,0.789655,,,1.1,5565.0,,rocky
444,HAT-P-9,b,,,,,3.9228105,,,1.32,6350.0,1.28,?
445,HAT-P-2,b,13.48,,,,5.633468,,,1.7,6412.8,,gassy
446,KOI-12,b,,,,,17.85522168,,,1.49,6779.23,1.45,?
447,WASP-120,b,,,,,3.61126646,,,,,,?
448,HAT-P-36,b,,,,,1.32734682,,,1.1,5560.0,1.02,?
449,HATS-1,b,12.488,,,,3.44645291,,,0.91,5870.0,,gassy
450,91 Aqr,b,,1017.0,,0.7,181.4,0.027,K0 III,11.0,4665.0,1.4,gassy
451,HATS-72,b,,,,,7.3279504,,,,,,?
452,WASP-35,b,,,,,3.1615699,,,1.09,5990.0,1.07,?
453,55 Cnc,d,,908.98924,,5.54,4820.0,0.139,,0.96,5317.89,0.97,gassy
454,Kepler-486,b,,,,,30.36044623,,,0.8,4815.0,0.78,?
455,WASP-141,b,,,,,3.3106628,,F9,1.37,5900.0,1.25,?
456,WASP-170,b,,,,,2.3447781,,,,,,?
457,XO-2 N,b,14.216,,,,2.6158578,,,1.08,5267.0,,gassy
458,HATS-4,b,,,,,2.5167281,,G,0.93,5403.0,1.0,?
459,WASP-162,b,11.209,1652.716,6.9,0.0871,9.62468,0.434,K0,1.11,5300.0,0.95,gassy
460,HD 136352,c,,10.8,,0.1666,27.5821,0.04,G4 V,,5664.0,0.81,icy
461,HAT-P-44,b,13.922,111.871,0.23,0.0507,4.301219,0.044,,0.95,5295.0,0.94,gassy
462,KELT-14,b,17.038,380.12468,0.421,0.02956,1.7100588,0.0,,1.37,5802.0,1.18,gassy
463,HAT-P-12,b,11.098,,,,3.2130578,,,0.7,4652.87,,gassy
464,HATS-16,b,,,,,2.6865049,,,,,,?
465,WASP-121,b,,,,,1.274925,,F6 V,1.46,6459.0,1.35,?
466,WASP-5,b,12.778,494.22565,,0.02709,1.6284229,0.0351,G5,1.06,5700.0,1.0,gassy
467,XO-3,b,13.641,3747.06,8.1,0.0454,3.1915239,0.26,,1.38,6429.0,1.21,gassy
468,WASP-17,b,21.185,162.0933,,,3.73,,,1.57,6548.0,1.35,gassy
469,WASP-153,b,,,,,3.3326095,,,,,,?
470,WASP-12,b,20.4,416.3573,,,1.09142245,0.05,,1.59,6300.0,1.2,gassy
471,WASP-41,b,13.451,292.391,0.665,0.0402,3.052401,0.0,,0.9,5450.0,0.93,gassy
472,GJ 1214,b,,,,,1.58040465,0.0,,0.21,3074.0,0.18,?
473,Wolf 503,b,2.03,,,0.0571,6.00118,,K3.5 V,0.69,4716.0,0.69,rocky
474,Wolf 503,b,2.043,6.26,2.92,0.05706,6.00127,0.41,K3.5 V,0.69,4716.0,0.69,rocky
475,WASP-13,b,15.569,151.599,0.222,0.05362,4.353011,0.0,,1.56,,1.09,gassy
476,HD 13908,b,,274.91,,0.154,19.382,0.02,F8 V,1.67,6255.0,1.29,gassy
477,HD 159243,b,,359.13,,0.11,12.62,0.02,G0 V,1.12,6123.0,1.12,gassy
478,HAT-P-27,b,10.915,,,,3.03908507,,,0.86,5316.0,,gassy
479,WASP-52,b,,,,,1.74978082,,,,,,?
480,WASP-72,b,14.235,491.39696,,,2.216742,0.0,,1.98,,1.39,gassy
481,HATS-13,b,13.585,172.58169,0.377,0.04057,3.0440499,0.181,,0.89,5523.0,0.96,gassy
482,HAT-P-64,b,19.089,184.34048,0.144,0.05387,4.007232,0.101,,1.74,6457.0,1.3,gassy
483,HAT-P-1,b,13.731,166.536,0.345,,4.4652934,0.0,G0 V,1.11,,1.13,gassy
484,Kepler-12,b,17.6,,,0.056,4.43796291,0.0,,1.38,6011.0,1.17,gassy
485,HAT-P-12,b,,66.10864,,0.03837,3.2130589,0.0,K4,0.7,4559.0,0.73,gassy
486,WASP-47,c,,500.0,,1.41,580.7,0.36,,1.16,5576.0,1.11,gassy
487,WASP-57,b,,,,,2.838918,,G6,0.84,5600.0,0.95,?
488,Kepler-12,b,17.13,,,,4.43796303,,,1.33,6007.0,1.12,gassy
489,HATS-69,b,10.593,183.38791,0.46,0.03211,2.2252577,0.519,,0.88,5137.0,0.89,gassy
490,HATS-46,b,,,,,4.7423719,,,0.85,5495.0,0.92,?
491,55 Cnc,e,,,,,0.7365417,,,,,,?
492,WASP-48,b,15.65,288.0,0.415,0.0332,2.14363544,0.0,,1.52,6000.0,1.06,gassy
493,Qatar-3,b,12.285,1369.8473,4.0,0.03783,2.5079204,0.0,G0 V,1.27,6007.0,1.15,gassy
494,WASP-3,b,15.917,772.3269,,,1.84683,0.0,,1.44,6400.0,1.62,gassy
495,TrES-2,b,,,,,2.4706134,0.0,,1.02,5854.0,1.06,?
496,HATS-53,b,,,,,3.8537783,,,,,,?
497,WASP-37,b,,,,,3.5774801,,,,,,?
498,WASP-47,c,,394.1092,,1.36,572.0,0.13,,1.15,5576.0,1.03,gassy
499,TrES-2,b,,,,,2.4706101,,,1.02,5854.0,1.06,?
500,KELT-4 A,b,19.044,286.68266,0.228,0.04317,2.9895932,0.0,F,1.6,6206.0,1.2,gassy
501,WASP-187,b,,,,,5.1478828,,,,,,?
502,TrES-2,b,,,,,2.47061338,,,1.02,5854.0,1.06,?
503,HAT-P-54,b,11.8,,,,3.799878,,,0.69,,,gassy
504,MASCARA-4,b,17.15,985.273,,0.047,2.82406,0.0,A7 V,1.92,7800.0,1.75,gassy
505,WASP-130,b,10.86,,,,11.55024596,,,1.06,5625.0,,gassy
506,KELT-16,b,17.85,,,,0.9689943,,,1.41,6430.0,,gassy
507,WASP-169,b,14.617,178.30263,0.33,0.0681,5.6114118,0.0,F8,2.01,6110.0,1.34,gassy
508,HATS-27,b,,,,,4.6370495,,,,,,?
509,HAT-P-59,b,12.282,,,,4.1419766,,,1.16,5418.3,,gassy
510,WASP-22,b,13.44,196.10111,0.444,0.0489,3.53273064,,,1.25,6153.0,1.25,gassy
511,HAT-P-1,b,,,,,4.46529958,,,,,,?
512,HATS-70,b,15.513,4100.007,6.64,0.03632,1.8882378,0.18,,1.88,7930.0,1.78,gassy
513,WASP-52,b,14.24,146.2,0.29,0.0272,1.7497798,0.0,K2 V,0.79,5000.0,0.87,gassy
514,HD 189733,b,,,,,,,,0.78,5023.0,0.84,?
515,KELT-7,b,17.662,,,,2.7347645,,,1.77,6767.9,,gassy
516,HAT-P-32,b,,,,,,,,,,,?
517,HIP 91258,b,,339.428,,0.057,5.0505,0.024,G5 V,1.0,5519.0,0.95,gassy
518,ROXs 12,b,,5085.0,,210.0,,,M0,,3850.0,0.87,gassy
519,OGLE-2012-BLG-0406L,b,,,,,,,,,,,?
520,Kepler-290,b,2.25,,,0.11,14.589347,,,0.74,5147.0,,icy
521,Kepler-23,d,2.2,,,0.124,15.274299,,,1.55,5828.0,,icy
522,Kepler-164,d,2.45,,,0.187,28.986769,,,1.15,5888.0,,icy
523,Kepler-244,c,2.05,,,0.087,9.767292,,,0.8,5554.0,,rocky
524,Kepler-323,c,1.63,,,0.046,3.553822,,,1.18,5987.0,,rocky
525,Kepler-336,d,2.37,,,0.154,20.678772,,,1.3,5867.0,,icy
526,Kepler-349,b,1.9,,,0.065,5.929778,,,0.93,5956.0,,rocky
527,HD 41004 A,b,,807.25,,,963.0,0.74,,,,,gassy
528,HD 41004 B,b,,5838.29,,,1.3283,0.081,M2 V,,,0.4,gassy
529,XO-1,b,13.518,290.17879,0.645,0.0493,3.94150685,0.019,,0.93,5750.0,1.03,gassy
530,HATS-46,b,10.122,54.98459,0.28,0.05367,4.7423729,0.559,,0.85,5495.0,0.92,gassy
531,HATS-1,b,,,,,3.44645559,,,,,,?
532,WASP-105,b,10.761,572.094,2.65,0.075,7.87288,0.0,K2,0.9,5070.0,0.89,gassy
533,Qatar-2,b,14.056,785.0401,1.552,0.02153,1.33711647,0.011,,0.78,4645.0,0.74,gassy
534,TrES-1,b,,,,,3.0300722,,,0.86,5242.82,0.9,?
535,WASP-7,b,11.994,397.2875,,,4.95466,0.0,,1.44,6400.0,1.91,gassy
536,WASP-114,b,,,,,1.54877747,,,,,,?
537,HAT-P-22,b,,685.55931,,,,0.0064,,,,0.92,gassy
538,XO-5,b,12.431,336.568,0.96,0.0488,4.187757,,,1.08,5370.0,0.88,gassy
539,WASP-19,b,16.125,,,,0.78883925,,,1.03,5568.0,,gassy
540,HAT-P-50,b,,,,,3.1220018,,,1.7,6280.0,1.27,?
541,WASP-75,b,14.235,341.03159,0.649,0.03751,2.484193,0.056,,1.26,6100.0,1.14,gassy
542,WASP-5,b,13.126,520.28771,1.36,0.02729,1.6284246,,,1.08,5700.0,1.02,gassy
543,55 Cnc,d,,1232.493,,5.503,4825.0,0.019,,,,0.95,gassy
544,WASP-135,b,14.019,,,,1.40138411,,,0.93,4984.0,,gassy
545,WASP-177,b,17.71,161.45764,0.172,0.03957,3.071722,,K2,0.89,5017.0,0.88,gassy
546,HATS-47,b,,,,,3.9228038,,,0.66,4512.0,0.67,?
547,HAT-P-25,b,,,,,3.6528162,,G5,0.96,5500.0,1.01,?
548,HAT-P-13,b,,285.72917,,,2.9162381,0.0133,,,,1.32,gassy
549,HAT-P-2,b,12.3,2828.6,7.3,0.068,5.6,0.5,F8 V,,6300.0,,gassy
550,HATS-5,b,10.223,75.323,0.39,0.0542,4.763387,0.019,G,0.87,5304.0,0.94,gassy
551,WASP-28,b,,,,,3.40883458,,,,,,?
552,WASP-96,b,,,,,3.4252577,,G8,1.05,5540.0,1.06,?
553,WASP-139,b,9.344,,,,5.92426613,,,0.85,5310.0,,gassy
554,WASP-12,b,21.297,467.2101,0.266,0.0234,1.0914203,0.0,,1.66,6360.0,1.43,gassy
555,WASP-54,b,,,,,3.6935999,,,,,,?
556,HAT-P-27,b,11.433,195.78328,0.76,0.03998,3.0395824,0.028,,0.87,5190.0,0.92,gassy
557,WASP-44,b,,,,,2.42381058,,,,,,?
558,XO-2 S,b,,82.6358,,0.13,18.157,0.18,,1.0,5399.0,0.98,gassy
559,XO-2 N,b,11.119,176.39565,0.75677,0.03647,2.615864,,,0.97,5340.0,0.95,gassy
560,WASP-54,b,18.528,202.131,0.188,0.04987,3.6936411,0.067,F9,1.83,6100.0,1.21,gassy
561,HAT-P-20,b,,,,,2.87531738,,,,,,?
562,HATS-18,b,,,,,0.8378434,,,,,,?
563,WASP-71,b,,,,,2.90368303,,,,,,?
564,EPIC 211945201,b,6.0,,,,19.492132,,,1.48,,,gassy
565,HD 60532,b,,327.35,,0.759,201.3,0.28,F6 IV,,6095.0,1.44,gassy
566,11 UMi,b,,3337.07,,1.54,516.22,0.08,K4 III,24.08,4340.0,1.8,gassy
567,Kepler-422,b,11.27,,,0.081,7.8914502,0.0,,1.11,5972.0,1.16,gassy
568,55 Cnc,d,,918.49,,5.28,4545.0,0.24,,,,,gassy
569,WASP-74,b,15.737,262.52758,0.3697,0.03443,2.1377445,,,1.54,5984.0,1.19,gassy
570,WASP-11,b,11.097,169.08556,0.679,0.04376,3.7224793,0.03,,0.77,4900.0,0.81,gassy
571,WASP-114,b,15.009,562.24127,0.97,0.02851,1.5487743,0.012,G0,1.43,5940.0,1.29,gassy
572,OGLE-TR-56,b,15.278,1048.839,1.59,0.02385,1.21191096,0.67,,1.36,6050.0,1.23,gassy
573,XO-6,b,,,,,3.7649925,,,,,,?
574,55 Cnc,d,,1121.89,,5.47,4909.0,0.02,,0.96,5250.0,0.9,gassy
575,HAT-P-12,b,,66.39469,,,,0.026,,,,0.73,gassy
576,Kepler-486,b,11.31,,,0.1725,30.36044667,0.0,,0.77,4939.0,0.74,gassy
577,WASP-142,b,17.15,266.9772,0.31,0.0347,2.052868,0.0,F8,1.64,6010.0,1.33,gassy
578,HD 117207,b,,594.33912,,3.744,2615.0,0.142,,1.13,5634.75,1.02,gassy
579,HD 50499,c,,1010.69433,,10.1,10400.0,0.241,,1.43,5978.1,1.25,gassy
580,HD 89307,b,,565.7374,,3.27,2157.0,0.241,,1.05,5950.0,1.03,gassy
581,K2-98,b,4.851,,,,10.1367351,,,1.51,6283.0,,icy
582,HAT-P-26,b,7.062,22.2481,,,4.23452,0.12,,0.87,5079.0,1.12,gassy
583,TOI-1468,c,2.014,,,,15.53243849,,,0.37,3382.0,,rocky
584,TOI-1468,b,1.455,,,,1.88053102,,,0.37,3382.0,,rocky
585,WASP-56,b,12.24,181.473,0.583,0.05458,4.617101,0.0,G6,1.11,5600.0,1.02,gassy
586,Kepler-486,b,11.31,,,0.1725,30.36044667,0.0,,0.77,4939.0,0.74,gassy
587,HATS-70,b,,,,,1.8882378,,,1.88,7930.0,1.78,?
588,WASP-8,b,,,,,8.158715,0.304,,0.94,5600.0,,?
589,WASP-47,b,,359.1479,0.94,0.051,4.1591409,0.026,,1.15,5576.0,1.03,gassy
590,WASP-1,b,16.97,291.76794,0.328,0.03957,2.519961,,,1.52,,1.3,gassy
591,K2-237,b,18.495,508.528,0.44,0.037,2.18056,0.0,F6 V,1.43,6257.0,1.28,gassy
592,WASP-11,b,,,,,3.722479,,,0.74,4800.0,0.77,?
593,K2-115,b,11.5,,,,20.272602,,,0.86,,,gassy
594,Kepler-426,b,11.68,,,0.042,3.21751859,0.0,,0.9,5866.0,0.96,gassy
595,KELT-14,b,19.537,408.09372,0.322,0.03005,1.7100566,0.0,G4,1.52,5720.0,1.24,gassy
596,WASP-35,b,14.862,,,,3.1615697,,,1.1,6072.0,,gassy
597,WASP-43,b,11.613,651.5515,2.28,0.01528,0.81347437,0.0062,,0.67,4400.0,0.72,gassy
598,HATS-35,b,16.41,388.38826,0.484,0.03199,1.8209993,0.306,,1.43,6300.0,1.32,gassy
599,WASP-56,b,10.536,143.0235,,,4.6171,0.0,,0.96,5600.0,0.71,gassy
600,HATS-22,b,,,,,4.7228189,,K V,0.69,4803.0,0.76,?
601,WASP-4,b,15.211,393.15571,0.65835,0.02307,1.3382315,,,0.91,5500.0,0.91,gassy
602,WASP-113,b,,,,,4.54217,,G1,1.61,5890.0,1.32,?
603,WASP-31,b,17.363,151.916,0.172,0.04659,3.4059096,0.0,,1.25,6302.0,1.16,gassy
604,WASP-55,b,14.572,181.48093,0.321,0.05326,4.465633,0.056,,1.06,5900.0,1.01,gassy
605,WASP-19,b,15.637,354.06262,0.511,0.01616,0.78883942,,,1.0,5440.0,0.9,gassy
606,TrES-2,b,15.244,473.5667,,,2.47063,0.0,,1.12,5850.0,1.36,gassy
607,WASP-85 A,b,11.1,,,,2.655676,,,0.88,,,gassy
608,HAT-P-24,b,,,,,3.35524397,,,,,,?
609,HATS-5,b,,,,,4.76339004,,,,,,?
610,HAT-P-18,b,,,,,5.5080291,,,0.74,4790.0,0.77,?
611,KELT-24,b,14.258,1646.3594,3.13,0.06969,5.5514926,0.077,,1.51,6509.0,1.46,gassy
612,WASP-180 A,b,,,,,3.40926463,,,,,,?
613,HAT-P-24,b,13.922,217.704,0.44,0.0465,3.35524,0.067,F8,1.32,6373.0,1.19,gassy
614,WASP-124,b,,,,,3.3726492,,F9,1.02,6050.0,1.07,?
615,WASP-10,b,,1071.0871,,,,0.0473,,,,0.75,gassy
616,HAT-P-56,b,16.926,734.1873,,,2.79083,,,1.47,6566.0,1.42,gassy
617,Kepler-422,b,12.987,,,,,,,1.27,5891.0,,gassy
618,KELT-8,b,16.594,,,,3.24407758,,,1.39,5703.0,,gassy
619,HATS-70,b,,,,,1.8882393,,,,,,?
620,HATS-3,b,15.48,340.39593,,0.0485,3.547851,0.0,,1.4,6351.0,1.21,gassy
621,HAT-P-13,b,16.668,285.72917,,0.04383,2.9162383,0.007,,1.76,,1.32,gassy
622,WASP-132,b,9.752,130.3103,0.84,0.067,7.133521,0.0,K4,0.74,4775.0,0.8,gassy
623,WASP-85 A,b,,,,,2.65662719,,,,5634.18,,?
624,TOI-1468,c,2.064,6.64,,,15.532482,,M3.0 V,0.34,3496.0,0.34,rocky
625,TOI-1468,b,1.28,3.21,,,1.8805136,,M3.0 V,0.34,3496.0,0.34,rocky
626,HATS-71,b,10.326,,,,3.79551778,,,0.45,3424.0,,gassy
627,K2-25,b,,,,,3.4843,,,0.29,3204.0,0.27,?
628,WASP-82,b,,,,,2.70579,,,2.1,6480.0,1.48,?
629,WASP-156,b,6.11,,,,3.83616191,,,0.85,4910.0,,gassy
