,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21636,Kepler-990,c,1.53,,,,0.53835431,,,1.08,5948.0,1.05,rocky
21637,Kepler-990,c,,,,,0.53834791,,,1.03,5521.54,0.97,?
21638,Kepler-332,c,1.09,,,0.114,15.995622,,,0.72,4955.0,,rocky
21639,Kepler-332,d,1.21,,,,34.2113054,,,0.74,5008.0,0.8,rocky
21640,Kepler-249,b,0.99,,,,3.30656751,,,0.51,3635.0,0.51,rocky
21641,Kepler-1217,b,1.99,,,,2.03232507,,,1.08,5905.0,1.06,rocky
21642,Kepler-1222,b,0.79,,,,1.91694425,,,0.8,5239.0,0.84,rocky
21643,Kepler-1550,b,2.65,,,0.7333,225.582809,0.0,,0.96,6184.0,1.03,icy
21644,Kepler-1598,b,0.95,,,,4.34195123,,,1.09,5940.0,1.07,rocky
21645,Kepler-1367,b,0.92,,,,1.57409027,,,0.6,4106.0,0.62,rocky
21646,Kepler-620,b,3.32,,,,12.91375431,,,1.22,6155.0,1.15,icy
21647,Kepler-625,b,1.99,,,,7.75192492,,,0.96,5789.0,1.04,rocky
21648,Kepler-693,b,10.18,,,,15.37563332,,,0.72,4881.0,0.76,gassy
21649,Kepler-1554,b,,,,,198.08670467,,,0.78,5204.0,0.88,?
21650,Kepler-378,c,,,,,28.90625629,,,0.71,4707.13,0.75,?
21651,Kepler-1555,b,,,,,8.10503551,,,1.53,5845.0,1.05,?
21652,Kepler-1556,b,2.06,,,0.082,8.82713457,0.0,,1.01,5812.0,0.94,rocky
21653,Kepler-1178,b,0.73,,,0.1596,31.80634,0.0,,0.53,4729.0,0.53,rocky
21654,Kepler-1558,b,0.79,,,0.0419,3.50470358,0.0,,0.85,5115.0,0.8,rocky
21655,Kepler-1559,b,0.72,,,,0.97191543,,,0.82,5316.0,0.86,rocky
21656,Kepler-1559,b,0.7,,,0.0187,0.97191543,0.0,,0.82,5406.0,0.93,rocky
21657,Kepler-1559,b,,,,,0.97191596,,,0.89,5216.81,0.89,?
21658,Kepler-1016,c,,,,,105.65485002,,,1.21,5643.68,1.0,?
21659,Kepler-340,b,4.61,,,0.1502,14.8444163,0.0,,3.18,8241.0,2.05,icy
21660,Kepler-340,b,2.49,,,0.1329,14.8444836,0.0,,1.85,6642.0,1.42,icy
21661,Kepler-342,e,1.18,,,0.0293,1.64422103,0.0,,1.37,6297.0,1.25,rocky
21662,Kepler-342,c,,,,,26.2347447,,,1.49,6139.09,1.16,?
21663,Kepler-1513,b,9.16,,,0.5416,160.88465087,0.0,,1.04,5650.0,0.82,gassy
21664,KOI-3680,b,10.64,,,0.5319,141.24164672,0.0,,0.91,5926.0,1.0,gassy
21665,Kepler-1516,b,2.704,,,,,,,1.7,5912.0,,icy
21666,EPIC 212737443,b,,,,,13.60697954,,,0.67,4581.0,0.72,?
21667,Kepler-1554,b,3.24,,,0.6314,198.088873,0.0,,0.97,5275.0,0.85,icy
21668,Kepler-288,d,2.67,,,0.287,56.633742,,,1.09,5918.0,,icy
21669,Kepler-295,c,,,,,21.52648147,,,2.38,5327.0,,?
21670,Kepler-295,c,1.2,,,0.1408,21.5262569,0.0,,0.89,5607.0,0.8,rocky
21671,KIC 9663113,b,5.8,,,1.4062,572.376632,0.0,,1.3,6226.0,1.13,icy
21672,Kepler-896,b,2.53,,,,144.547396,,,0.81,5262.0,0.84,icy
21673,Kepler-896,b,2.9,,,0.519,144.5431,0.0,,0.81,5506.0,0.89,icy
21674,Kepler-430,c,1.67,,,,,,,1.37,5936.0,,rocky
21675,Kepler-1562,b,6.407,,,,,,,1.55,6345.0,,gassy
21676,Kepler-1562,b,4.72,,,0.3337,64.2737752,0.0,,1.38,6362.0,1.2,icy
21677,Kepler-1564,b,1.39,,,0.1326,18.0540381,0.0,,0.85,5576.0,0.95,rocky
21678,Kepler-1565,b,,,,,1.53818174,,,0.73,4872.0,0.79,?
21679,Kepler-1515,b,9.33,,,0.7455,214.3114164,0.0,,1.38,6517.0,1.2,gassy
21680,Kepler-1567,b,2.73,,,,153.979578,,,0.93,5655.0,0.95,icy
21681,Kepler-1567,b,2.67,,,0.552,153.979578,0.0,,0.9,5858.0,0.94,icy
21682,Kepler-1569,b,1.634,,,,,,,1.27,6174.0,,rocky
21683,Kepler-186,f,1.06,,,0.3931,129.94577,0.0,,0.46,3761.0,0.48,rocky
21684,Kepler-343,c,,,,,23.22181264,,,1.29,5750.81,1.03,?
21685,Kepler-1031,b,0.78,,,0.0229,1.22621732,0.0,,0.99,6095.0,1.06,rocky
21686,Kepler-347,c,1.72,,,,27.3216332,,,1.06,5892.0,1.05,rocky
21687,Kepler-1047,c,0.79,,,0.0422,3.18897601,0.0,,0.96,5798.0,0.98,rocky
21688,Kepler-1065,c,1.56,,,0.0344,2.37030743,0.0,,0.87,5668.0,0.96,rocky
21689,Kepler-154,b,,,,,33.04043258,,,1.05,5740.0,1.03,?
21690,Kepler-299,e,,,,,38.2856338,,,1.0,5631.0,1.0,?
21691,K2-34,b,13.1,,,,2.995633,,,1.38,,,gassy
21692,Kepler-118,c,,,,,20.17202326,,,0.83,5109.0,0.86,?
21693,Kepler-494,b,5.0,,,0.076,8.0251044,0.0,,0.82,5596.0,0.92,icy
21694,Kepler-531,b,2.78,,,,29.88485741,,,0.75,4893.0,0.78,icy
21695,Kepler-308,c,2.083,,,,,,,0.89,5895.0,,rocky
21696,Kepler-347,c,3.61,,,0.1777,27.3214242,0.0,,1.45,5592.0,1.0,icy
21697,Kepler-1093,c,,,,,89.72188091,,,1.41,6343.61,1.26,?
21698,Kepler-1532,b,,,,,1.09366585,,,0.86,5733.0,1.02,?
21699,Kepler-1533,b,,,,,308.55430327,,,1.7,6473.13,1.32,?
21700,Kepler-301,d,2.11,,,,13.75134642,,,0.96,5717.0,0.98,rocky
21701,Kepler-531,b,2.72,,,0.171,29.88571,0.0,,0.71,4869.0,0.75,icy
21702,Kepler-533,b,3.369,,,,,,,0.71,4790.0,,icy
21703,Kepler-524,b,,,,,7.97412529,,,1.62,5842.52,1.05,?
21704,KOI-351,h,10.01,,,0.9279,331.6011081,0.0,,1.05,6238.0,0.97,gassy
21705,Kepler-414,b,2.19,,,0.0529,4.69965324,0.0,,0.95,5523.0,0.89,rocky
21706,Kepler-397,b,1.98,,,,22.2508247,,,0.76,5231.0,0.79,rocky
21707,Kepler-398,c,,,,,11.41949528,,,0.63,4577.0,0.72,?
21708,Kepler-398,d,,,,,6.83444647,,,0.63,4577.0,0.72,?
21709,Kepler-398,d,1.01,,,0.0618,6.83440674,0.0,,0.64,4498.0,0.7,rocky
21710,Kepler-445,b,0.576,,,,,,,0.19,3157.0,0.16,rocky
21711,Kepler-445,b,0.92,,,0.0217,2.98415771,0.0,,0.18,3157.0,0.15,rocky
21712,Kepler-399,b,1.01,,,0.1034,14.42525565,0.0,,0.68,5500.0,0.71,rocky
21713,Kepler-1571,b,,,,,3.38557445,,,1.33,5595.94,0.99,?
21714,Kepler-386,b,1.39,,,0.096,12.31043,,,0.77,5178.0,,rocky
21715,Kepler-865,b,2.49,,,,14.16399294,,,0.92,5570.0,0.93,icy
21716,Kepler-748,b,2.52,,,,7.40742793,,,1.1,5934.0,1.07,icy
21717,Kepler-1336,c,,,,,5.77721551,,,1.82,5449.27,0.95,?
21718,Kepler-1336,c,2.17,,,0.0631,5.77721259,0.0,,1.76,5416.0,1.0,rocky
21719,Kepler-142,b,,,,,2.02414638,,,1.12,5812.0,1.04,?
21720,Kepler-142,b,1.86,,,0.031,2.0241346,0.0,,1.14,5744.0,0.99,rocky
21721,Kepler-386,b,,,,,12.31019082,,,0.84,4993.0,0.83,?
